,NUMBER,NAME,Latitude,Longitude,ALTITUDE,COUNTRY,REGION,PROVINCE,CANTON,DISTRICT,USE DATA,Jan_High,Feb_High,Mar_High,Apr_High,May_High,Jun_High,Jul_High,Aug_High,Sep_High,Oct_High,Nov_High,Dec_High,Jan_Mean,Feb_Mean,Mar_Mean,Apr_Mean,May_Mean,Jun_Mean,Jul_Mean,Aug_Mean,Sep_Mean,Oct_Mean,Nov_Mean,Dec_Mean,Jan_Low,Feb_Low,Mar_Low,Apr_Low,May_Low,Jun_Low,Jul_Low,Aug_Low,Sep_Low,Oct_Low,Nov_Low,Dec_Low,Jan_Rainfall,Feb_Rainfall,Mar_Rainfall,Apr_Rainfall,May_Rainfall,Jun_Rainfall,Jul_Rainfall,Aug_Rainfall,Sep_Rainfall,Oct_Rainfall,Nov_Rainfall,Dec_Rainfall,Avg_High,Avg_Mean,Avg_Low,Annual_Rainfall
0,82011.0,San mateo,9.93178,-84.51917,182.0,Costa rica,Central pacific,Alajuela,San mateo,San mateo,Alajuela,27.0,28.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,27.0,22.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,19.0,20.0,15.4,13.5,42.1,115.6,133.0,107.3,126.5,157.6,162.2,100.6,44.2,27.333333333333332,22.25,18.833333333333332,1038.0
1,84215.0,"Cerro burio, aserri",9.84036,-84.11267,1811.0,Costa rica,Central pacific,San jose,Aserri,,Aserri,24.0,24.0,25.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,19.0,19.0,20.0,20.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,19.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,27.2,20.5,17.3,49.1,124.2,143.4,122.8,135.8,158.8,165.6,113.9,56.1,23.583333333333332,19.0,15.833333333333334,1134.7
2,86007.0,Punta leona,9.70139,-84.65861,20.0,Costa rica,Central pacific,Puntarenas,Garabito,,Jaco,32.0,33.0,33.0,33.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,30.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,9.8,6.7,7.5,35.5,122.7,144.2,116.8,140.5,181.5,179.8,96.9,32.2,31.916666666666668,28.666666666666668,26.166666666666668,1074.1000000000001
3,86009.0,Jaco,9.59667,-84.61972,3.0,Costa rica,Central pacific,Puntarenas,Jaco,,Jaco,32.0,33.0,33.0,33.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,30.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,9.8,6.7,7.5,35.5,122.7,144.2,116.8,140.5,181.5,179.8,96.9,32.2,31.916666666666668,28.666666666666668,26.166666666666668,1074.1000000000001
4,86013.0,Muelle herradura,9.66647,-84.66639,6.0,Costa rica,Central pacific,Puntarenas,Jaco,Herradura,Jaco,32.0,33.0,33.0,33.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,30.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,9.8,6.7,7.5,35.5,122.7,144.2,116.8,140.5,181.5,179.8,96.9,32.2,31.916666666666668,28.666666666666668,26.166666666666668,1074.1000000000001
5,88031.0,"La ligia,  parrita",9.51306,-84.33333,10.0,Costa rica,Central pacific,Puntarenas,Parrita,Parrita,Parrita,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,30.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,18.2,12.7,13.0,48.2,135.8,156.8,135.8,153.1,181.0,184.0,116.3,47.7,32.0,28.666666666666668,26.166666666666668,1202.6
6,88039.0,Hacienda la minita  (bustamante),9.76667,-84.09056,1200.0,Costa rica,Central pacific,San jose,Tarrazu,San marcos,San marcos,22.0,23.0,24.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,18.0,18.0,15.0,15.0,15.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,18.2,12.7,13.0,48.2,135.8,156.8,135.8,153.1,181.0,184.0,116.3,47.7,22.25,18.083333333333332,15.25,1202.6
7,88045.0,San ignacio 2,9.79667,-84.16306,880.0,Costa rica,Central pacific,San jose,Acosta,San ignacio,San ignacio,26.0,26.0,27.0,27.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,18.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0,18.0,18.0,18.0,18.0,23.4,17.5,15.6,47.4,124.5,143.2,121.4,136.6,162.2,167.9,111.1,51.2,25.583333333333332,21.083333333333332,18.25,1122.0
8,88051.0,"Rodeo de tarrazu,",9.67622,-84.01842,1634.0,Costa rica,Central pacific,San jose,San marcos,,San marcos,22.0,23.0,24.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,18.0,18.0,15.0,15.0,15.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,18.2,12.7,13.0,48.2,135.8,156.8,135.8,153.1,181.0,184.0,116.3,47.7,22.25,18.083333333333332,15.25,1202.6
9,88053.0,"San antonio, puriscal",9.85472,-84.29579,1022.0,Costa rica,Central pacific,San jose,Puriscal,San antonio,San antonio,27.0,28.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,26.0,26.0,27.0,22.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.8,16.8,14.4,43.6,117.4,135.0,110.2,128.1,157.5,162.5,103.3,46.8,27.333333333333332,22.25,19.0,1057.3999999999999
10,90013.0,Finca damas,9.49528,-84.21444,6.0,Costa rica,Central pacific,Puntarenas,Quepos,Isla damas,Quepos,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,29.0,30.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,25.5,17.6,17.2,55.9,145.1,166.8,151.8,163.4,182.8,187.6,131.5,59.8,32.0,28.583333333333332,26.166666666666668,1304.9999999999998
11,90015.0,"Marina pez vela,quepos",9.4259,-84.16635,11.0,Costa rica,Central pacific,Puntarenas,Quepos,,Quepos,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,29.0,29.0,30.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,25.5,17.6,17.2,55.9,145.1,166.8,151.8,163.4,182.8,187.6,131.5,59.8,32.0,28.583333333333332,26.166666666666668,1304.9999999999998
12,94021.0,"Rio nuevo, arunachala perez zeledon",9.40992,-83.83222,1012.0,Costa rica,Central pacific,San jose,Pérez zeledón,Río nuevo,San isidro,28.0,29.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,44.5,32.7,28.4,69.6,149.8,169.4,162.1,165.5,169.6,178.2,152.0,84.4,27.666666666666668,23.416666666666668,20.833333333333332,1406.2
13,96002.0,Hacienda baru,9.27028,-83.88167,5.0,Costa rica,Central pacific,Puntarenas,,Dominical,Puntarenas,34.0,35.0,36.0,35.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,29.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,29.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,4.0,3.6,4.2,23.3,99.9,116.8,81.4,112.6,165.5,161.4,71.1,17.2,33.5,29.0,25.833333333333332,861.0000000000001
14,88047.0,La lucha 2,9.73667,-84.00056,1740.0,Costa rica,Central pacific,San jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,94013.0,"Cerro buenavista, cc.",9.56,-83.75361,3400.0,Costa rica,Central pacific,San jose,San carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,69711.0,"Copalchi, peñas blancas",11.19816,-85.61816,57.0,Costa rica,North pacific,Puntarenas,,Peñas blancas,Miramar,32.0,33.0,34.0,34.0,32.0,31.0,31.0,31.0,31.0,30.0,30.0,31.0,27.0,27.0,28.0,28.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,5.4,4.6,5.1,25.2,100.1,116.7,82.1,112.4,162.5,159.5,73.3,19.5,31.666666666666668,26.75,23.416666666666668,866.3999999999999
17,69735.0,Hacienda verdum santa cecilia,11.07537,-85.45306,300.0,Costa rica,North pacific,Guanacaste,La cruz,Santa cecilia,La cruz,29.0,29.0,30.0,31.0,31.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0,25.0,25.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,22.0,22.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,22.0,1.0,1.5,2.7,14.0,99.8,127.4,79.6,111.7,182.9,172.1,57.2,9.7,29.583333333333332,25.916666666666668,22.833333333333332,859.6000000000001
18,72149.0,"San jose, pinilla",10.26,-85.83778,15.0,Costa rica,North pacific,Guanacaste,Santa cruz,San jose de pinilla,Santa cruz,34.0,35.0,35.0,35.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,33.0,29.0,29.0,30.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,28.0,28.0,25.0,25.0,25.0,26.0,26.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,1.6,1.2,2.5,15.5,103.7,132.8,88.2,121.5,189.2,176.1,64.0,11.3,33.0,28.416666666666668,25.166666666666668,907.6
19,72153.0,"Santa elena, la cruz",10.92,-85.61056,270.0,Costa rica,North pacific,Guanacaste,La cruz,Santa elena,La cruz,29.0,29.0,30.0,31.0,31.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0,25.0,25.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,22.0,22.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,22.0,1.0,1.5,2.7,14.0,99.8,127.4,79.6,111.7,182.9,172.1,57.2,9.7,29.583333333333332,25.916666666666668,22.833333333333332,859.6000000000001
20,72157.0,"Finca la ceiba,",10.11111,-85.3175,58.0,Costa rica,North pacific,Guanacaste,,,Nicoya,34.0,34.0,35.0,34.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,28.0,29.0,29.0,29.0,28.0,27.0,28.0,28.0,27.0,27.0,27.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,1.6,1.3,2.5,15.7,99.1,124.6,83.1,116.4,180.9,169.9,62.8,11.3,32.416666666666664,27.916666666666668,24.75,869.1999999999998
