N,P,K,temperature,humidity,ph,rainfall,label,Price_kg,kg_per_acre
15.00,62.00,21.00,21.80,63.73,4.35,10.00,lentil,1.12,800
17.00,78.00,13.00,29.94,67.31,7.07,10.00,lentil,1.12,800
17.00,69.00,19.00,28.50,62.45,8.46,10.00,lentil,1.12,800
22.00,81.00,20.00,29.20,68.02,5.05,10.00,lentil,1.12,800
19.00,61.00,18.00,25.63,63.15,7.67,10.00,lentil,1.12,800
21.00,98.00,20.00,26.25,67.63,6.93,10.00,lentil,1.12,800
18.00,34.00,27.00,27.52,60.54,8.66,13.00,lentil,1.12,800
19.00,56.00,7.00,25.43,69.13,8.79,14.00,lentil,1.12,800
77.00,15.00,84.00,29.54,92.92,6.95,17.00,muskmelon,1.85,6500
61.00,11.00,26.00,26.22,85.35,6.30,17.00,watermelon,0.4,17700
44.00,84.00,69.00,20.09,15.11,10.08,18.00,chickpea,0.78,1000
20.00,77.00,18.00,27.15,67.03,2.28,18.00,lentil,1.12,800
148.00,13.00,11.00,27.97,92.17,7.44,18.00,muskmelon,1.85,6500
110.00,20.00,59.00,29.49,94.73,8.15,18.00,muskmelon,1.85,6500
121.00,21.00,38.00,29.49,91.08,8.53,18.00,muskmelon,1.85,6500
14.00,90.00,24.00,28.23,69.32,6.79,19.00,lentil,1.12,800
129.00,21.00,67.00,27.82,93.04,5.02,19.00,muskmelon,1.85,6500
53.00,24.00,59.00,28.00,91.64,9.45,19.00,muskmelon,1.85,6500
108.00,16.00,52.00,28.58,92.87,6.12,20.00,muskmelon,1.85,6500
85.00,12.00,47.00,29.94,93.91,6.82,20.00,muskmelon,1.85,6500
89.00,20.00,33.00,27.43,90.03,7.70,20.00,muskmelon,1.85,6500
106.00,12.00,35.00,29.34,94.55,5.20,21.00,muskmelon,1.85,6500
63.00,18.00,60.00,29.19,91.46,5.94,21.00,muskmelon,1.85,6500
116.00,17.00,49.00,27.93,93.56,6.37,21.00,muskmelon,1.85,6500
70.00,14.00,44.00,29.12,92.13,6.98,21.00,muskmelon,1.85,6500
62.00,19.00,31.00,29.93,93.23,8.05,21.00,muskmelon,1.85,6500
108.00,12.00,47.00,27.87,91.15,8.33,21.00,muskmelon,1.85,6500
22.00,72.00,21.00,23.97,62.36,9.67,22.00,lentil,1.12,800
166.00,21.00,67.00,29.63,90.10,5.52,22.00,muskmelon,1.85,6500
160.00,22.00,71.00,28.47,91.21,5.68,22.00,muskmelon,1.85,6500
85.00,19.00,31.00,27.09,93.42,6.02,22.00,muskmelon,1.85,6500
84.00,16.00,36.00,28.93,91.39,6.16,22.00,muskmelon,1.85,6500
61.00,27.00,40.00,28.05,94.82,6.76,22.00,muskmelon,1.85,6500
110.00,20.00,41.00,27.71,92.91,6.99,22.00,muskmelon,1.85,6500
151.00,17.00,55.00,29.69,92.59,6.99,22.00,muskmelon,1.85,6500
119.00,19.00,46.00,29.34,90.02,8.38,22.00,muskmelon,1.85,6500
88.00,20.00,30.00,28.20,92.91,8.51,22.00,muskmelon,1.85,6500
107.00,19.00,32.00,29.73,90.97,9.23,22.00,muskmelon,1.85,6500
111.00,12.00,37.00,25.30,81.78,6.18,22.00,watermelon,0.4,17700
21.00,124.00,262.00,26.18,81.04,5.56,23.00,grapes,1.2,5000
24.00,59.00,14.00,18.28,68.10,4.51,23.00,lentil,1.12,800
19.00,67.00,23.00,24.39,62.50,9.49,23.00,lentil,1.12,800
80.00,24.00,52.00,29.08,90.74,4.60,23.00,muskmelon,1.85,6500
137.00,13.00,54.00,27.02,91.67,4.75,23.00,muskmelon,1.85,6500
87.00,15.00,35.00,28.61,94.22,6.33,23.00,muskmelon,1.85,6500
88.00,12.00,38.00,29.88,94.04,6.45,23.00,muskmelon,1.85,6500
111.00,18.00,83.00,29.84,93.76,6.57,23.00,muskmelon,1.85,6500
70.00,9.00,43.00,29.87,90.61,6.69,23.00,muskmelon,1.85,6500
99.00,21.00,49.00,29.03,91.82,7.39,23.00,muskmelon,1.85,6500
160.00,22.00,65.00,27.73,92.01,8.52,23.00,muskmelon,1.85,6500
113.00,11.00,71.00,29.17,92.21,9.69,23.00,muskmelon,1.85,6500
26.00,68.00,21.00,27.41,63.42,7.33,24.00,lentil,1.12,800
71.00,21.00,62.00,29.03,93.13,2.49,24.00,muskmelon,1.85,6500
68.00,17.00,54.00,29.69,94.30,3.16,24.00,muskmelon,1.85,6500
77.00,14.00,55.00,29.05,93.92,4.92,24.00,muskmelon,1.85,6500
97.00,17.00,52.00,27.76,90.36,6.08,24.00,muskmelon,1.85,6500
113.00,15.00,40.00,27.30,90.80,6.88,24.00,muskmelon,1.85,6500
121.00,12.00,53.00,27.59,91.80,7.06,24.00,muskmelon,1.85,6500
87.00,17.00,64.00,27.72,90.94,7.20,24.00,muskmelon,1.85,6500
45.00,17.00,44.00,28.56,90.46,7.23,24.00,muskmelon,1.85,6500
147.00,21.00,39.00,27.47,94.88,7.24,24.00,muskmelon,1.85,6500
133.00,18.00,51.00,28.91,90.78,7.47,24.00,muskmelon,1.85,6500
124.00,23.00,51.00,29.56,90.71,9.68,24.00,muskmelon,1.85,6500
29.00,155.00,154.00,41.19,81.02,5.32,25.00,grapes,1.2,5000
23.00,79.00,25.00,22.99,66.71,3.44,25.00,lentil,1.12,800
28.00,75.00,15.00,22.17,62.14,4.39,25.00,lentil,1.12,800
26.00,89.00,18.00,27.61,69.30,10.90,25.00,lentil,1.12,800
52.00,17.00,35.00,29.07,90.98,4.21,25.00,muskmelon,1.85,6500
109.00,19.00,49.00,28.96,93.88,4.45,25.00,muskmelon,1.85,6500
129.00,18.00,38.00,28.59,91.34,4.57,25.00,muskmelon,1.85,6500
108.00,19.00,66.00,27.84,91.61,4.65,25.00,muskmelon,1.85,6500
123.00,17.00,48.00,29.25,90.07,5.55,25.00,muskmelon,1.85,6500
171.00,22.00,49.00,28.54,91.73,5.88,25.00,muskmelon,1.85,6500
142.00,19.00,53.00,29.79,94.65,6.88,25.00,muskmelon,1.85,6500
115.00,20.00,69.00,27.51,94.96,7.03,25.00,muskmelon,1.85,6500
129.00,20.00,47.00,29.47,90.77,7.18,25.00,muskmelon,1.85,6500
73.00,18.00,51.00,29.92,94.56,7.24,25.00,muskmelon,1.85,6500
96.00,19.00,49.00,27.29,90.53,7.37,25.00,muskmelon,1.85,6500
97.00,19.00,51.00,29.17,94.20,7.61,25.00,muskmelon,1.85,6500
104.00,17.00,52.00,29.53,94.57,7.67,25.00,muskmelon,1.85,6500
121.00,21.00,61.00,27.79,92.51,8.41,25.00,muskmelon,1.85,6500
116.00,13.00,64.00,24.85,89.20,4.56,25.00,watermelon,0.4,17700
100.00,15.00,49.00,25.97,89.77,8.31,25.00,watermelon,0.4,17700
19.00,77.00,15.00,26.14,66.77,3.94,26.00,lentil,1.12,800
14.00,22.00,23.00,20.06,67.76,8.12,26.00,lentil,1.12,800
93.00,12.00,36.00,29.83,90.79,5.09,26.00,muskmelon,1.85,6500
91.00,21.00,74.00,29.90,90.75,5.39,26.00,muskmelon,1.85,6500
